0;1000000;1000000;1000000;1000000;1000000;1000000;1000000;60;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;5;1000000;1000000;1000000;1000000;1000000;1000000
1000000;0;1000000;1000000;1000000;1000000;1000000;1000000;55;1000000;1000000;1000000;1000000;1000000;60;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;0;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;45;60;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;0;1000000;1000000;1000000;1000000;1000000;25;1000000;35;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;1000000;0;1000000;1000000;1000000;1000000;1000000;25;5;1000000;1000000;1000000;1000000;1000000;1000000;1000000;5;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;1000000;1000000;0;1000000;1000000;25;1000000;1000000;1000000;1000000;30;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;1000000;1000000;1000000;0;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;8;10;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;1000000;1000000;1000000;1000000;0;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;25;28;1000000;1000000;1000000;1000000
60;55;1000000;1000000;1000000;25;1000000;1000000;0;10;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;25;1000000;1000000;1000000;1000000;10;0;60;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;1000000;25;1000000;1000000;1000000;1000000;60;0;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;35;5;1000000;1000000;1000000;1000000;1000000;1000000;0;55;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;55;0;60;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;45;1000000;1000000;30;1000000;1000000;1000000;1000000;1000000;1000000;60;0;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;5;1000000
1000000;60;60;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;0;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;5
1000000;1000000;1000000;1000000;1000000;1000000;8;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;0;1000000;1000000;1000000;1000000;1000000;1000000;1000000;75;27
1000000;1000000;1000000;1000000;1000000;1000000;10;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;0;80;1000000;1000000;1000000;1000000;1000000;1000000;50
1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;80;0;68;56;1000000;1000000;1000000;52;1000000
5;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;68;0;1000000;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;1000000;5;1000000;1000000;25;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;56;1000000;0;1000000;1000000;1000000;1000000;1000000
1000000;1000000;1000000;1000000;1000000;1000000;1000000;28;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;0;42;1000000;60;1000000
1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;42;0;1000000;1000000;1000000
1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;0;41;1000000
1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;5;1000000;75;1000000;52;1000000;1000000;60;1000000;41;0;1000000
1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;1000000;5;27;50;1000000;1000000;1000000;1000000;1000000;1000000;1000000;0
