Timestamp;Username;text;retweet_count
Wed Sep 20 12:28:26 +0000 2017;Ludi Alone;@paumeeaparis @BurgerKingFR Je tiens à dire que dès qu’il est 14:00 14:30 y’a plus personnes;0
Wed Sep 20 12:27:54 +0000 2017;Ludi Alone;@paumeeaparis @BurgerKingFR Toi t’es folle burger king + La Défense un midi;0
Wed Sep 20 12:26:11 +0000 2017;Zickma;@BurgerKingFR Et le fait « on ouvre la boite ensemble et je fais un cris de surprise » est juste Culte... je me marre tout seul.;0
Wed Sep 20 12:24:25 +0000 2017;Zickma;J’adore au @BurgerKingFR un mec profite que sa copine soit aux toilettes pour regarder les 2 burgers mystères et... lui refiler le petit.;0
Wed Sep 20 12:01:31 +0000 2017;Un Mec Chelou ??;@Bagamalo_1825 @BurgerKingFR Ah mais je sais, et d'ailleurs je m'en fou;0
Wed Sep 20 12:00:51 +0000 2017;Louis Berthaut ™ ?;@BurgerKingFR Enfoirés;0
Wed Sep 20 12:00:32 +0000 2017;Bagamalo ??;@mechelou_ @BurgerKingFR Clef, avec ta PP, @BurgerKingFR ne va jamais RT ou fav;0
Wed Sep 20 12:00:27 +0000 2017;bertii ????;RT @BurgerKingFR: Vous la sentez là, cette délicieuse odeur de viande grillée ? De rien. https://t.co/qdjCwSx2j3;8
Wed Sep 20 11:54:38 +0000 2017;Idy Ly;@BurgerKingFR burger king begles scandaleux expérience terminée ... vôtre page service conso bizaremment ne marche pas pour valider ????;0
Wed Sep 20 11:49:01 +0000 2017;Mehdi;@BurgerKingFR Quand est ce qu’on va la sentir cette bonne  odeur de viande grillée sur #amiens #burgerking;0
Wed Sep 20 11:36:21 +0000 2017;Super Licorne ?;Plus jamais de @BurgerKingFR à la défense en semaine, 40 minutes pour un burger et une frite;0
Wed Sep 20 11:27:27 +0000 2017;Un Mec Chelou ??;Les gens qui mettent mac do c'est qu'ils ont jamais goûté @BurgerKingFR https://t.co/u2P2ikxgyI;0
Wed Sep 20 11:24:31 +0000 2017;octave;RT @lepopulaire_fr: Un deuxième @BurgerKingFR va ouvrir à #Limoges !https://t.co/g0RmKfyAvb https://t.co/e62R7nfXC5;30
Wed Sep 20 11:18:54 +0000 2017;Tybo;@BurgerKingFR J'ai hâte de voir celui de @VilledeLanester dans 2 mois :);0
Wed Sep 20 11:13:41 +0000 2017;Anthony Castellano;RT @BurgerKingFR: Vous la sentez là, cette délicieuse odeur de viande grillée ? De rien. https://t.co/qdjCwSx2j3;8
Wed Sep 20 11:13:02 +0000 2017;Magali Lecocq;Les ? mystères du jour de chez @BurgerKingFR Je suis plus que satisfaite du hasard #chance https://t.co/3RjeKc5XU1;0
Wed Sep 20 11:12:25 +0000 2017;Clément - Elyasis;@BurgerKingFR Bah non je sens rien, j'habite en Vendée ?;0
Wed Sep 20 11:08:58 +0000 2017;Scao Gaelle;@BurgerKingFR Et le 2eme à Brest ?;0
Wed Sep 20 10:59:44 +0000 2017;Eloïssa;@BurgerKingFR C'est moche de faire bisquer ! ??;0
Wed Sep 20 10:57:34 +0000 2017;Valouu;Vendredi @BurgerKingFR et après je vois Alice ??;0
Wed Sep 20 10:34:57 +0000 2017;CyrilZ;@BurgerKingFR attendre plus de 20 min après la commande en borne pour obtenir son repas, ça fait pas rêver ! ?? (fast food vous dites ?);0
Wed Sep 20 10:22:53 +0000 2017;Denzel St Paul ???;RT @Dylan_Legros: La file d'attente au drive du 1er @BurgerKingFR à la Réunion. Je vous laisse imaginer la file d'attente à l'intérieur ??…;9
Wed Sep 20 09:57:15 +0000 2017;?Cup Usagée?;@BurgerKingFR @Laazy_Lifestyle @Electrostreetfr j'ai faiiiim;0
Wed Sep 20 09:56:13 +0000 2017;Blueberrydesigns ?;Par drogue vous voulez dire @BurgerKingFR ? https://t.co/lPdFHtfWKY;0
